day,side,qty,entry_ts,entry_px,exit_ts,exit_px,stop_px,pnl,reason_in,reason_out
2016-01-29,1,3,2016-01-29 09:00:00-06:00,102.899,2016-01-29 14:52:00-06:00,104.106,102.29,289.68,long: close 102.89 > upper 102.60,flatten
2016-02-02,-1,3,2016-02-02 10:00:00-06:00,103.381,2016-02-02 10:30:00-06:00,103.52900000000001,104.11,-35.52,short: close 103.40 < lower 103.45,exit short: close 103.53 > lower 103.45
2016-02-02,-1,2,2016-02-02 11:00:00-06:00,103.161,2016-02-02 14:52:00-06:00,102.27900000000001,103.99000000000001,141.12,short: close 103.18 < lower 103.34,flatten
2016-02-03,-1,2,2016-02-03 09:30:00-06:00,100.451,2016-02-03 10:40:00-06:00,101.33900000000001,101.32000000000001,-142.08,short: close 100.47 < lower 101.61,stop
2016-02-03,-1,2,2016-02-03 11:00:00-06:00,101.06099999999999,2016-02-03 13:30:00-06:00,101.479,102.04,-66.88,short: close 101.08 < lower 101.50,exit short: close 101.47 > lower 101.21
2016-02-05,-1,3,2016-02-05 09:00:00-06:00,100.14099999999999,2016-02-05 14:52:00-06:00,97.909,100.85000000000001,535.68,short: close 100.15 < lower 100.76,flatten
2016-02-08,-1,1,2016-02-08 12:30:00-06:00,95.39099999999999,2016-02-08 14:30:00-06:00,95.819,97.17,-34.24,short: close 95.41 < lower 95.45,exit short: close 95.79 > lower 95.20
2016-02-10,1,1,2016-02-10 12:00:00-06:00,98.259,2016-02-10 12:30:00-06:00,97.83099999999999,96.94,-34.24,long: close 98.23 > upper 98.23,exit long: close 97.85 < upper 98.30
2016-02-17,1,2,2016-02-17 10:00:00-06:00,101.90400000000001,2016-02-17 14:52:00-06:00,102.431,100.71000000000001,84.32,long: close 101.89 > upper 101.76,flatten
2016-02-29,1,4,2016-02-29 11:00:00-06:00,103.99900000000001,2016-02-29 11:30:00-06:00,103.86099999999999,103.45,-44.16,long: close 103.99 > upper 103.90,exit long: close 103.88 < upper 103.95
2016-03-01,1,2,2016-03-01 09:30:00-06:00,104.30900000000001,2016-03-01 14:52:00-06:00,105.491,103.29,189.12,long: close 104.29 > upper 104.02,flatten
2016-03-03,-1,3,2016-03-03 10:30:00-06:00,104.951,2016-03-03 11:00:00-06:00,105.13900000000001,105.58,-45.12,short: close 104.96 < lower 105.13,exit short: close 105.12 > lower 105.11
2016-03-03,-1,3,2016-03-03 11:30:00-06:00,105.011,2016-03-03 12:00:00-06:00,105.159,105.71000000000001,-35.52,short: close 105.03 < lower 105.06,exit short: close 105.14 > lower 105.00
2016-03-04,-1,5,2016-03-04 09:00:00-06:00,105.14099999999999,2016-03-04 09:30:00-06:00,105.289,105.54,-59.2,short: close 105.15 < lower 105.28,exit short: close 105.27 > lower 105.16
2016-03-07,-1,3,2016-03-07 09:00:00-06:00,104.75099999999999,2016-03-07 09:30:00-06:00,104.774,105.34,-5.52,short: close 104.79 < lower 104.80,exit short: close 104.75 > lower 104.67
2016-03-10,1,4,2016-03-10 09:00:00-06:00,105.7891,2016-03-10 09:30:00-06:00,105.371,105.21000000000001,-133.79,long: close 105.78 > upper 105.64,exit long: close 105.37 < upper 105.69
2016-03-10,-1,3,2016-03-10 10:30:00-06:00,104.181,2016-03-10 11:00:00-06:00,104.349,104.92,-40.32,short: close 104.18 < lower 104.33,exit short: close 104.33 > lower 104.26
2016-03-16,1,3,2016-03-16 13:30:00-05:00,107.32900000000001,2016-03-16 14:52:00-05:00,107.571,106.68,58.08,long: close 107.31 > upper 107.15,flatten
2016-03-18,-1,5,2016-03-18 09:00:00-05:00,106.92099999999999,2016-03-18 09:32:00-05:00,107.22900000000001,107.21000000000001,-123.2,short: close 106.94 < lower 107.18,stop
2016-03-22,1,3,2016-03-22 12:00:00-05:00,108.239,2016-03-22 13:00:00-05:00,108.211,107.52,-6.72,long: close 108.23 > upper 108.21,exit long: close 108.22 < upper 108.28
2016-03-23,-1,5,2016-03-23 10:00:00-05:00,107.50099999999999,2016-03-23 11:30:00-05:00,107.52900000000001,107.88,-11.2,short: close 107.52 < lower 107.62,exit short: close 107.51 > lower 107.45
2016-03-29,1,4,2016-03-29 10:30:00-05:00,107.57900000000001,2016-03-29 14:52:00-05:00,108.771,107.09,381.44,long: close 107.57 > upper 107.52,flatten
2016-03-30,1,3,2016-03-30 09:00:00-05:00,109.93900000000001,2016-03-30 10:30:00-05:00,109.366,109.3,-137.52,long: close 109.91 > upper 109.79,exit long: close 109.38 < upper 109.90
2016-04-01,1,3,2016-04-01 10:00:00-05:00,109.71900000000001,2016-04-01 11:30:00-05:00,109.592,109.08,-30.48,long: close 109.71 > upper 109.52,exit long: close 109.61 < upper 109.62
2016-04-01,1,3,2016-04-01 12:00:00-05:00,109.789,2016-04-01 14:52:00-05:00,110.306,109.08,124.08,long: close 109.78 > upper 109.59,flatten
2016-04-04,-1,5,2016-04-04 10:00:00-05:00,109.83099999999999,2016-04-04 11:00:00-05:00,109.979,110.26,-59.2,short: close 109.84 < lower 109.89,exit short: close 109.96 > lower 109.88
2016-04-06,1,5,2016-04-06 09:00:00-05:00,109.32900000000001,2016-04-06 09:30:00-05:00,109.11099999999999,109.0,-87.2,long: close 109.31 > upper 109.28,exit long: close 109.12 < upper 109.29
2016-04-06,1,5,2016-04-06 10:00:00-05:00,109.674,2016-04-06 14:52:00-05:00,110.541,109.22,346.8,long: close 109.66 > upper 109.40,flatten
2016-04-07,-1,3,2016-04-07 09:30:00-05:00,109.50099999999999,2016-04-07 12:30:00-05:00,109.509,110.09,-1.92,short: close 109.52 < lower 109.77,exit short: close 109.50 > lower 109.49
2016-04-07,-1,2,2016-04-07 13:00:00-05:00,109.03099999999999,2016-04-07 14:52:00-05:00,108.899,109.9,21.12,short: close 109.05 < lower 109.48,flatten
2016-04-11,1,4,2016-04-11 09:30:00-05:00,109.88900000000001,2016-04-11 10:00:00-05:00,109.42099999999999,109.38,-149.76,long: close 109.86 > upper 109.75,exit long: close 109.45 < upper 109.95
2016-04-12,-1,5,2016-04-12 09:30:00-05:00,108.131,2016-04-12 09:31:00-05:00,108.459,108.44,-131.2,short: close 108.15 < lower 108.32,stop
